tiempo,fase,duracion,ciclo,cola_v,cola_p,extension,tiempo_total,motivo
2593.0,VERDE_VEHICULAR_EXTENSION,5,49,12,6,7.0,55.0,
2598.0,VERDE_VEHICULAR_EXTENSION,5,49,9,7,8.0,60.0,
2603.0,AMARILLO_VEHICULAR,3,49,10,7,,,
2606.0,VERDE_PEATONAL,15,49,11,8,,,COLA_PEATONAL_ALTA
2621.0,AMARILLO_PEATONAL,3,49,21,1,,,
2624.0,VERDE_VEHICULAR_INICIAL,20,50,21,1,0.0,20.0,
2644.0,VERDE_VEHICULAR_EXTENSION,5,50,18,1,1.0,25.0,
2649.0,VERDE_VEHICULAR_EXTENSION,5,50,19,3,2.0,30.0,
2654.0,VERDE_VEHICULAR_EXTENSION,5,50,20,3,3.0,35.0,
2659.0,VERDE_VEHICULAR_EXTENSION,5,50,20,3,4.0,40.0,
2664.0,VERDE_VEHICULAR_EXTENSION,5,50,17,3,5.0,45.0,
2669.0,VERDE_VEHICULAR_EXTENSION,5,50,19,3,6.0,50.0,
2674.0,VERDE_VEHICULAR_EXTENSION,5,50,18,3,7.0,55.0,
2679.0,VERDE_VEHICULAR_EXTENSION,5,50,17,3,8.0,60.0,
2684.0,AMARILLO_VEHICULAR,3,50,15,3,,,
2687.0,VERDE_PEATONAL,15,50,16,4,,,COLA_PEATONAL_ALTA
2702.0,AMARILLO_PEATONAL,3,50,19,0,,,
2705.0,VERDE_VEHICULAR_INICIAL,20,51,20,1,0.0,20.0,
2725.0,VERDE_VEHICULAR_EXTENSION,5,51,19,4,1.0,25.0,
2730.0,VERDE_VEHICULAR_EXTENSION,5,51,16,4,2.0,30.0,
2735.0,VERDE_VEHICULAR_EXTENSION,5,51,14,4,3.0,35.0,
2740.0,VERDE_VEHICULAR_EXTENSION,5,51,16,6,4.0,40.0,
2745.0,VERDE_VEHICULAR_EXTENSION,5,51,12,7,5.0,45.0,
2750.0,VERDE_VEHICULAR_EXTENSION,5,51,13,8,6.0,50.0,
2755.0,VERDE_VEHICULAR_EXTENSION,5,51,14,8,7.0,55.0,
2760.0,VERDE_VEHICULAR_EXTENSION,5,51,16,9,8.0,60.0,
2765.0,AMARILLO_VEHICULAR,3,51,15,11,,,
2768.0,VERDE_PEATONAL,15,51,17,11,,,COLA_PEATONAL_ALTA
2783.0,AMARILLO_PEATONAL,3,51,22,0,,,
2786.0,VERDE_VEHICULAR_INICIAL,20,52,26,1,0.0,20.0,
2806.0,VERDE_VEHICULAR_EXTENSION,5,52,19,2,1.0,25.0,
2811.0,VERDE_VEHICULAR_EXTENSION,5,52,16,2,2.0,30.0,
2816.0,VERDE_VEHICULAR_EXTENSION,5,52,16,2,3.0,35.0,
2821.0,VERDE_VEHICULAR_EXTENSION,5,52,14,2,4.0,40.0,
2826.0,VERDE_VEHICULAR_EXTENSION,5,52,12,2,5.0,45.0,
2831.0,VERDE_VEHICULAR_EXTENSION,5,52,14,2,6.0,50.0,
2836.0,VERDE_VEHICULAR_EXTENSION,5,52,13,2,7.0,55.0,
2841.0,VERDE_VEHICULAR_EXTENSION,5,52,12,2,8.0,60.0,
2846.0,AMARILLO_VEHICULAR,3,52,12,2,,,
2849.0,VERDE_PEATONAL,15,52,13,2,,,HAY_PEATONES
2864.0,AMARILLO_PEATONAL,3,52,22,0,,,
2867.0,VERDE_VEHICULAR_INICIAL,20,53,24,0,0.0,20.0,
2887.0,VERDE_VEHICULAR_EXTENSION,5,53,21,1,1.0,25.0,
2892.0,VERDE_VEHICULAR_EXTENSION,5,53,21,1,2.0,30.0,
2897.0,VERDE_VEHICULAR_EXTENSION,5,53,21,1,3.0,35.0,
2902.0,VERDE_VEHICULAR_EXTENSION,5,53,21,1,4.0,40.0,
2907.0,VERDE_VEHICULAR_EXTENSION,5,53,19,2,5.0,45.0,
2912.0,VERDE_VEHICULAR_EXTENSION,5,53,22,3,6.0,50.0,
2917.0,VERDE_VEHICULAR_EXTENSION,5,53,21,3,7.0,55.0,
2922.0,VERDE_VEHICULAR_EXTENSION,5,53,21,3,8.0,60.0,
